sep=,
#,Player,Team,GP,%Time,Poss,Pts,PPP,FG Miss,FG Made,FG Att,FG%,eFG%,TO%,%FT,Score%,%SF
1,"Sam Bruns","Illinois Tech Scarlet Hawks",6,100,1,1.5,1.5,0.5,0.5,1,50,75,0,0,50,0
2,"Calvin Schmitz","Illinois Tech Scarlet Hawks",25,100,7.8,8.4,1.082,3.3,3.2,6.5,48.8,58,11.8,8.7,45.6,7.7
3,"Otis Reale","Illinois Tech Scarlet Hawks",24,100,16.3,16.3,1,6.3,6.3,12.7,50,56.3,16.1,8.7,44.9,7.1
4,"Ahmad Muhammad","Illinois Tech Scarlet Hawks",10,100,10,9.6,0.96,4.6,3.8,8.4,45.2,53.6,13,4,41,4
5,"Kyle Hornacek","Illinois Tech Scarlet Hawks",24,100,5.8,5.1,0.885,2.3,2,4.3,46.6,53.4,13.7,13.7,41.7,11.5
6,"Caden Gigstad","Illinois Tech Scarlet Hawks",25,100,10,8.7,0.871,4.7,3.1,7.8,39.8,48.7,15.3,7.6,36.5,4.4
7,"Milos Dugalic","Illinois Tech Scarlet Hawks",25,100,16.8,14.5,0.864,6.5,5.6,12.1,46.5,47.9,15,14.3,43.3,11.4
8,"Elijah Wendel","Illinois Tech Scarlet Hawks",15,100,1.3,1.1,0.842,0.5,0.4,0.9,42.9,42.9,15.8,10.5,42.1,10.5
9,"Furkan Mohamed","Illinois Tech Scarlet Hawks",22,100,3.6,2.7,0.759,1.6,1,2.6,39.7,44.8,21.5,5.1,34.2,2.5
10,"Guy Ostroff","Illinois Tech Scarlet Hawks",23,100,1.7,1,0.605,0.7,0.4,1.1,36,36,23.7,10.5,34.2,7.9
11,"Patrick Blanchard","Illinois Tech Scarlet Hawks",18,100,1.7,0.9,0.548,0.4,0.2,0.7,33.3,37.5,38.7,25.8,25.8,9.7
12,"Derrick Faulkner","Illinois Tech Scarlet Hawks",23,100,4,2.1,0.516,1.1,1,2.1,45.8,45.8,46.2,4.3,24.7,2.2
13,"Jalen Lomax","Illinois Tech Scarlet Hawks",21,100,1.3,0.5,0.393,0.6,0.2,0.8,23.5,23.5,32.1,7.1,21.4,3.6
14,"Immanuel Adams","Illinois Tech Scarlet Hawks",8,100,1.4,0.4,0.273,0.5,0.1,0.6,20,20,45.5,9.1,18.2,0
15,"Allan Watatani","Illinois Tech Scarlet Hawks",14,100,1.6,0.4,0.261,0.8,0.1,0.9,15.4,15.4,39.1,4.3,13,0
16,"Umberto Ambra","Illinois Tech Scarlet Hawks",2,100,0.5,0,0,0,0,0,0,0,100,0,0,0
