sep=,
#,Player,Team,GP,%Time,Poss,Pts,PPP,FG Miss,FG Made,FG Att,FG%,eFG%,TO%,%FT,Score%,%SF
1,"Sydney Shipp","Occidental Tigers",21,100,19.8,14.6,0.737,8.4,6.2,14.6,42.3,45.3,20.5,7,35.2,5.1
2,"Anthony Hollerich","Occidental Tigers",21,100,16,14,0.875,7.1,4.4,11.5,38.4,43,14,17.6,40.6,13.7
3,"Andrew Waldman","Occidental Tigers",12,100,11.8,11,0.936,5.7,3.8,9.5,40.4,42.1,4.3,20.6,46.1,18.4
4,"Aiden Williams","Occidental Tigers",16,100,10.3,12.6,1.218,4.9,4.5,9.4,47.7,65.2,6.7,2.4,44.8,0.6
5,"Isaiah Jeannot","Occidental Tigers",5,100,10.4,10,0.962,4.8,3.8,8.6,44.2,58.1,15.4,1.9,36.5,0
6,"Kyle Dosa","Occidental Tigers",16,100,9.6,9.1,0.942,3.6,2.9,6.5,45.2,56.3,18.8,15.6,40.3,9.7
7,"Nolet Aden","Occidental Tigers",15,100,6.3,5.1,0.8,3,2.1,5.1,40.8,44.7,15.8,4.2,36.8,4.2
8,"Jack Amsler","Occidental Tigers",3,100,6.7,5,0.75,3,2,5,40,40,15,15,35,15
9,"Jacob Hamermesh","Occidental Tigers",8,100,5.4,4.1,0.767,2.9,2,4.9,41,41,7,2.3,39.5,2.3
10,"Tejan Lanser","Occidental Tigers",15,100,5.6,3.2,0.571,3.3,1.1,4.3,24.6,30.8,15.5,7.1,26.2,4.8
11,"Jacob Lopez","Occidental Tigers",13,100,4,3.8,0.942,1.8,1.8,3.6,51.1,52.1,9.6,1.9,46.2,1.9
12,"Ryan Hakl","Occidental Tigers",5,100,4.2,5.2,1.238,0.8,2.6,3.4,76.5,76.5,14.3,4.8,61.9,4.8
13,"Noah Delorme","Occidental Tigers",15,100,4.5,3.7,0.809,1.3,1.7,3,57.8,57.8,30.9,7.4,41.2,7.4
13,"Malcom Schiltz","Occidental Tigers",1,100,3,0,0,3,0,3,0,0,0,0,0,0
15,"Forrest Nishi","Occidental Tigers",12,100,2.9,2.6,0.886,1.7,0.8,2.5,33.3,45,2.9,11.4,34.3,5.7
16,"Michael Phaneuf","Occidental Tigers",3,100,2.3,2.3,1,1,1,2,50,58.3,14.3,0,42.9,0
