,Player,GP,Poss,USG%,PPP,PPG,RPG,APG,SPG,BPG,TOVPG,FTA PG,FTM PG,FT%,FGA PG,FGM PG,FG%,3PA PG,3PM PG,3 FG%,Ast/TO,Ast Per 100 Poss,Stl Per 100 Poss,Blk Per 100 Poss,Reb Per 100 Poss,Off Reb Per 100 Poss,Def Reb Per 100 Poss,TO%,eFG%
0,#13 Chase Pagon,9,173,22.883597883597883,0.728,14.0,8.777777777777779,3.3333333333333335,1.0,0.4444444444444444,3.111111111111111,5.222222222222222,2.3333333333333335,44.7%,13.444444444444445,5.555555555555555,41.3%,2.7777777777777777,0.5555555555555556,20.0%,1.07,17.341040462427745,5.202312138728324,2.312138728323699,45.664739884393065,13.872832369942195,31.79190751445087,16.2%,43.4%
1,#43 Pavlos Stavrinides,9,130,17.195767195767196,0.923,13.333333333333334,6.555555555555555,1.4444444444444444,0.5555555555555556,0.6666666666666666,3.7777777777777777,5.0,3.111111111111111,62.2%,8.444444444444445,5.111111111111111,60.5%,0.1111111111111111,0.0,0.0%,0.38,10.0,3.8461538461538463,4.615384615384616,45.38461538461539,12.307692307692308,33.07692307692307,26.2%,60.5%
2,#22 Kyle Mcgraw,9,132,17.46031746031746,0.78,11.444444444444445,4.444444444444445,1.3333333333333333,0.8888888888888888,0.2222222222222222,2.6666666666666665,1.4444444444444444,0.6666666666666666,46.2%,11.333333333333334,4.0,35.3%,8.0,2.7777777777777777,34.7%,0.5,9.090909090909092,6.0606060606060606,1.5151515151515151,30.303030303030305,8.333333333333332,21.96969696969697,18.2%,47.5%
3,#4 Noah Hicks,9,124,16.402116402116402,0.685,9.444444444444445,3.888888888888889,2.111111111111111,0.1111111111111111,0.0,3.3333333333333335,1.2222222222222223,1.0,81.8%,10.0,3.4444444444444446,34.4%,4.777777777777778,1.5555555555555556,32.6%,0.63,15.32258064516129,0.8064516129032258,0.0,28.225806451612907,4.838709677419355,23.387096774193548,24.2%,42.2%
4,#23 Riley Wood,9,60,7.936507936507936,0.7,4.666666666666667,7.222222222222222,1.4444444444444444,1.0,0.1111111111111111,1.7777777777777777,2.6666666666666665,1.3333333333333333,50.0%,3.4444444444444446,1.6666666666666667,48.4%,0.2222222222222222,0.0,0.0%,0.81,21.666666666666668,15.0,1.6666666666666667,108.33333333333333,43.333333333333336,65.0,26.7%,48.4%
5,#21 Ben Juarez,8,36,4.761904761904762,0.833,3.75,2.5,0.5,0.125,0.0,0.625,0.5,0.5,100.0%,3.625,1.125,31.0%,2.625,1.0,38.1%,0.8,11.11111111111111,2.7777777777777777,0.0,55.55555555555556,8.333333333333332,47.22222222222222,13.9%,44.8%
6,#34 Evan Portnoi,7,57,7.5396825396825395,0.491,4.0,1.4285714285714286,1.0,0.14285714285714285,0.42857142857142855,1.7142857142857142,1.1428571428571428,0.42857142857142855,37.5%,5.857142857142857,1.5714285714285714,26.8%,3.7142857142857144,0.42857142857142855,11.5%,0.58,12.280701754385964,1.7543859649122806,5.263157894736842,17.543859649122805,0.0,17.543859649122805,21.1%,30.5%
7,#11 Jack Pierson,5,19,2.513227513227513,0.632,2.4,0.8,0.6,0.0,0.0,0.8,0.0,0.0,-,3.0,0.8,26.7%,3.0,0.8,26.7%,0.75,15.789473684210526,0.0,0.0,21.052631578947366,10.526315789473683,10.526315789473683,21.1%,40.0%
8,#0 Sidd Shendrikar,6,18,2.380952380952381,0.389,1.1666666666666667,0.0,0.5,0.16666666666666666,0.0,1.3333333333333333,0.3333333333333333,0.0,0.0%,1.5,0.5,33.3%,0.3333333333333333,0.16666666666666666,50.0%,0.38,16.666666666666664,5.555555555555555,0.0,0.0,0.0,0.0,44.4%,38.9%
9,#24 James Downs,5,7,0.9259259259259258,0.286,0.4,1.8,0.6,0.0,0.2,0.2,0.4,0.0,0.0%,1.0,0.2,20.0%,0.2,0.0,0.0%,3.0,42.857142857142854,0.0,14.285714285714285,128.57142857142858,71.42857142857143,57.14285714285714,14.3%,20.0%
10,,9,756,100.0,0.734,61.666666666666664,35.666666666666664,11.88888888888889,3.888888888888889,1.8888888888888888,18.0,17.333333333333332,9.222222222222221,53.2%,57.666666666666664,22.88888888888889,39.7%,23.11111111111111,6.666666666666667,28.8%,0.66,14.153439153439153,4.62962962962963,2.2486772486772484,42.46031746031746,12.3015873015873,30.158730158730158,21.4%,45.5%
