,Player,GP,Poss,USG%,PPP,PPG,RPG,APG,SPG,BPG,TOVPG,FTA PG,FTM PG,FT%,FGA PG,FGM PG,FG%,3PA PG,3PM PG,3 FG%,Ast/TO,Ast Per 100 Poss,Stl Per 100 Poss,Blk Per 100 Poss,Reb Per 100 Poss,Off Reb Per 100 Poss,Def Reb Per 100 Poss,TO%,eFG%
0,#1 Bryant Howing,7,115,17.450682852807283,0.852,14.0,3.7142857142857144,2.857142857142857,1.5714285714285714,0.0,1.7142857142857142,4.142857142857143,3.2857142857142856,79.3%,13.142857142857142,4.428571428571429,33.7%,7.428571428571429,1.8571428571428572,25.0%,1.67,17.391304347826086,9.565217391304348,0.0,22.608695652173914,3.4782608695652173,19.130434782608695,10.4%,40.8%
1,#35 Ethan Battistini,7,75,11.380880121396055,1.053,11.285714285714286,5.428571428571429,0.7142857142857143,0.14285714285714285,0.2857142857142857,1.0,3.0,2.4285714285714284,81.0%,8.285714285714286,4.0,48.3%,3.0,0.8571428571428571,28.6%,0.71,6.666666666666667,1.3333333333333335,2.666666666666667,50.66666666666667,18.666666666666668,32.0,9.3%,53.4%
2,#5 Kunal Bagga,7,95,14.41578148710167,0.800,10.857142857142858,2.2857142857142856,3.4285714285714284,1.4285714285714286,0.14285714285714285,3.5714285714285716,2.5714285714285716,2.0,77.8%,8.857142857142858,4.142857142857143,46.8%,1.1428571428571428,0.5714285714285714,50.0%,0.96,25.263157894736842,10.526315789473683,1.0526315789473684,16.842105263157894,11.578947368421053,5.263157894736842,26.3%,50.0%
3,#3 Jude Agbasi,7,90,13.657056145675265,0.822,10.571428571428571,4.857142857142857,1.2857142857142858,0.8571428571428571,0.0,1.4285714285714286,1.7142857142857142,1.1428571428571428,66.7%,10.714285714285714,4.0,37.3%,5.428571428571429,1.4285714285714286,26.3%,0.90,10.0,6.666666666666667,0.0,37.77777777777778,6.666666666666667,31.11111111111111,11.1%,44.0%
4,#22 Cameron Stiepock,7,58,8.801213960546281,0.966,8.0,1.2857142857142858,0.7142857142857143,0.14285714285714285,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.42857142857142855,60.0%,7.285714285714286,2.5714285714285716,35.3%,6.857142857142857,2.4285714285714284,35.4%,1.00,8.620689655172415,1.7241379310344827,6.896551724137931,15.517241379310345,6.896551724137931,8.620689655172415,8.6%,52.0%
5,#12 Blake Lander,7,66,10.015174506828528,0.773,7.285714285714286,4.428571428571429,0.5714285714285714,1.2857142857142858,0.2857142857142857,1.4285714285714286,1.1428571428571428,1.0,87.5%,7.571428571428571,2.5714285714285716,34.0%,4.142857142857143,1.1428571428571428,27.6%,0.40,6.0606060606060606,13.636363636363635,3.0303030303030303,46.96969696969697,15.151515151515152,31.818181818181817,15.2%,41.5%
6,#2 Kevin Dobson,6,43,6.525037936267071,0.721,5.166666666666667,1.6666666666666667,2.1666666666666665,0.6666666666666666,0.0,2.3333333333333335,1.8333333333333333,1.3333333333333333,72.7%,4.0,1.6666666666666667,41.7%,1.6666666666666667,0.5,30.0%,0.93,30.23255813953488,9.30232558139535,0.0,23.25581395348837,2.3255813953488373,20.930232558139537,32.6%,47.9%
7,#15 Logan Baltazar,6,26,3.9453717754172986,0.923,4.0,1.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.6666666666666667,1.0,60.0%,3.3333333333333335,1.5,45.0%,0.3333333333333333,0.0,0.0%,1.00,7.6923076923076925,7.6923076923076925,7.6923076923076925,34.61538461538461,7.6923076923076925,26.923076923076923,7.7%,45.0%
8,#33 Bryden Lovdahl,7,34,5.159332321699544,0.529,2.5714285714285716,4.142857142857143,0.42857142857142855,0.14285714285714285,0.2857142857142857,1.5714285714285714,2.0,0.8571428571428571,42.9%,2.2857142857142856,0.8571428571428571,37.5%,0.0,0.0,-,0.27,8.823529411764707,2.941176470588235,5.88235294117647,85.29411764705883,35.294117647058826,50.0,32.4%,37.5%
9,#23 Bryant Handley,5,28,4.24886191198786,0.571,3.2,1.2,0.6,0.2,0.0,1.4,2.0,1.2,60.0%,3.4,1.0,29.4%,0.2,0.0,0.0%,0.43,10.714285714285714,3.571428571428571,0.0,21.428571428571427,10.714285714285714,10.714285714285714,25.0%,29.4%
